algoritmo utilizado,numero a buscar,tamano de n,tiempo real,encontrado
1,14700764,9000000,4.7019958496e-02,-1
1,187645041,9000000,4.7051906586e-02,-1
1,450057883,9000000,4.7069072723e-02,-1
1,1295390003,9000000,3.1466007233e-02,1
1,1360839354,9000000,4.7017097473e-02,-1
1,1493283650,9000000,3.6303043365e-02,1
1,1843349527,9000000,4.4821977615e-02,1
1,1980098116,9000000,4.7019958496e-02,-1
1,2109248666,9000000,4.6988010406e-02,-1
1,2147445644,9000000,4.7161102295e-02,-1
1,2147470852,9000000,4.7107934952e-02,-1
 , ,promedio,=sum(D380:D399)/count(D380:D399), 
1,0,10000000,2.1457672119e-06,1
1,5000,10000000,5.2228927612e-02,-1
1,61396,10000000,5.2370071411e-02,-1
1,152503,10000000,5.2324056625e-02,-1
1,214826,10000000,5.2232027054e-02,-1
1,322486,10000000,1.0013580322e-05,1
1,3128036,10000000,7.8916549683e-05,1
1,6337399,10000000,1.5592575073e-04,1
1,10393545,10000000,2.5391578674e-04,1
1,14700764,10000000,5.2224159241e-02,-1
1,187645041,10000000,5.2239894867e-02,-1
1,450057883,10000000,5.2254915237e-02,-1
1,1295390003,10000000,3.1508922577e-02,1
1,1360839354,10000000,5.2380084991e-02,-1
1,1493283650,10000000,3.6359071732e-02,1
1,1843349527,10000000,4.4852018356e-02,1
1,1980098116,10000000,5.2268028259e-02,-1
1,2109248666,10000000,5.1327943802e-02,1
1,2147445644,10000000,5.2295923233e-02,-1
1,2147470852,10000000,5.2273035049e-02,1
 , ,promedio,=sum(D401:D420)/count(D401:D420), 
2,0,100,2.1457672119e-06,1
2,5000,100,2.8610229492e-06,-1
2,61396,100,2.8610229492e-06,-1
2,152503,100,3.0994415283e-06,-1
2,214826,100,2.1457672119e-06,-1
2,322486,100,1.9073486328e-06,-1
2,3128036,100,2.1457672119e-06,-1
2,6337399,100,1.9073486328e-06,-1
2,10393545,100,2.1457672119e-06,-1
2,14700764,100,3.0994415283e-06,-1
2,187645041,100,1.9073486328e-06,-1
2,450057883,100,1.9073486328e-06,-1
2,1295390003,100,3.0994415283e-06,-1
2,1360839354,100,1.9073486328e-06,-1
2,1493283650,100,1.9073486328e-06,-1
2,1843349527,100,2.1457672119e-06,-1
2,1980098116,100,2.8610229492e-06,-1
2,2109248666,100,1.9073486328e-06,-1
2,2147445644,100,2.8610229492e-06,-1
2,2147470852,100,3.0994415283e-06,-1
 , ,promedio,=sum(D422:D441)/count(D422:D441), 
2,0,1000,1.9073486328e-06,1
2,5000,1000,1.9073486328e-06,-1
2,61396,1000,2.8610229492e-06,-1
2,152503,1000,1.9073486328e-06,-1
2,214826,1000,3.0994415283e-06,-1
2,322486,1000,1.9073486328e-06,-1
2,3128036,1000,1.9073486328e-06,-1
2,6337399,1000,9.5367431641e-07,-1
2,10393545,1000,1.9073486328e-06,-1
2,14700764,1000,3.0994415283e-06,-1
2,187645041,1000,2.1457672119e-06,-1
2,450057883,1000,2.8610229492e-06,-1
2,1295390003,1000,1.9073486328e-06,-1
2,1360839354,1000,2.1457672119e-06,-1
2,1493283650,1000,1.9073486328e-06,-1
2,1843349527,1000,1.9073486328e-06,-1
2,1980098116,1000,2.1457672119e-06,-1
2,2109248666,1000,2.8610229492e-06,-1
2,2147445644,1000,1.9073486328e-06,-1
2,2147470852,1000,2.1457672119e-06,-1
 , ,promedio,=sum(D443:D462)/count(D443:D462), 
2,0,5000,3.0994415283e-06,1
2,5000,5000,2.1457672119e-06,-1
2,61396,5000,1.9073486328e-06,-1
2,152503,5000,2.8610229492e-06,-1
2,214826,5000,1.9073486328e-06,-1
2,322486,5000,1.9073486328e-06,1
2,3128036,5000,2.1457672119e-06,-1
2,6337399,5000,2.1457672119e-06,-1
2,10393545,5000,1.9073486328e-06,-1
2,14700764,5000,3.8146972656e-06,-1
2,187645041,5000,2.1457672119e-06,-1
2,450057883,5000,2.1457672119e-06,-1
2,1295390003,5000,1.9073486328e-06,-1
2,1360839354,5000,2.8610229492e-06,-1
2,1493283650,5000,2.1457672119e-06,-1
2,1843349527,5000,3.0994415283e-06,-1
2,1980098116,5000,1.9073486328e-06,-1
2,2109248666,5000,2.1457672119e-06,-1
2,2147445644,5000,2.1457672119e-06,-1
2,2147470852,5000,2.8610229492e-06,-1
 , ,promedio,=sum(D464:D483)/count(D464:D483), 
2,0,10000,3.0994415283e-06,1
2,5000,10000,2.1457672119e-06,-1
2,61396,10000,2.1457672119e-06,-1
2,152503,10000,2.1457672119e-06,-1
2,214826,10000,3.0994415283e-06,-1
2,322486,10000,1.9073486328e-06,1
2,3128036,10000,1.9073486328e-06,-1
2,6337399,10000,2.1457672119e-06,-1
2,10393545,10000,1.9073486328e-06,-1
2,14700764,10000,2.8610229492e-06,-1
2,187645041,10000,3.0994415283e-06,-1
2,450057883,10000,1.9073486328e-06,-1
2,1295390003,10000,1.9073486328e-06,-1
2,1360839354,10000,2.8610229492e-06,-1
2,1493283650,10000,3.0994415283e-06,-1
2,1843349527,10000,3.0994415283e-06,-1
2,1980098116,10000,2.1457672119e-06,-1
2,2109248666,10000,2.8610229492e-06,-1
2,2147445644,10000,2.1457672119e-06,-1
2,2147470852,10000,3.0994415283e-06,-1
 , ,promedio,=sum(D485:D504)/count(D485:D504), 
2,0,50000,3.0994415283e-06,1
2,5000,50000,1.9073486328e-06,-1
2,61396,50000,2.8610229492e-06,-1
2,152503,50000,2.8610229492e-06,-1
2,214826,50000,3.0994415283e-06,-1
2,322486,50000,2.8610229492e-06,1
2,3128036,50000,2.1457672119e-06,1
2,6337399,50000,2.1457672119e-06,1
2,10393545,50000,3.0994415283e-06,1
2,14700764,50000,1.9073486328e-06,-1
2,187645041,50000,1.9073486328e-06,-1
2,450057883,50000,1.9073486328e-06,-1
2,1295390003,50000,3.0994415283e-06,-1
